time,inertial_pos_x,inertial_pos_y,inertial_pos_z,mrp_x,mrp_y,mrp_z,css_plus_x,css_minus_x,css_plus_y,css_minus_y,css_plus_z,css_minus_z,mag_ref_x,mag_ref_y,mag_ref_z,sun_ref_x,sun_ref_y,sun_ref_z,mag_x,mag_y,mag_z,sun_vec_b_x,sun_vec_b_y,sun_vec_b_z,omega_x,omega_y,omega_z,rw_speed_x,rw_speed_y,rw_speed_z,rw_pwm_setpoint_x,rw_pwm_setpoint_y,rw_pwm_setpoint_z,error_mrp_x,error_mrp_y,error_mrp_z
2.5,-1653009.8098538942,-4592714.395749174,4093833.635404599,0.05639891307316666,0.3641537131626069,-0.49381535923661685,0.012939453125,0.011962890625,0.02294921875,0.00537109375,0.00927734375,0.002685546875,1.9869009213981265e-05,4.461804947598105e-05,-1.3981554131219118e-05,-0.23205242103591234,-0.8924619888323279,-0.38686337689269273,1.06e-05,2.6099999999999997e-05,-3.64e-05,0.05194805194805195,0.935064935064935,0.35064935064935066,0.02548180707911721,-0.016929693744344994,-0.023387411976724018,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.1518795950718179,0.18912486102667755,-0.6379332946577303
2.75,-1652928.1282608816,-4592743.7937684795,4093833.635404599,0.0601545381287612,0.34422954134389283,-0.47517939139126697,0.012939453125,0.011962890625,0.02294921875,0.0048828125,0.009033203125,0.002685546875,1.9868093848032468e-05,4.461856025960443e-05,-1.3981716339738866e-05,-0.23205237115653443,-0.8924619997494363,-0.3868633816269862,1.14e-05,2.65e-05,-3.65e-05,0.05093165736983622,0.94223566134197,0.33105577290393545,0.02076941809873252,-0.016406094968746697,-0.02775073510670984,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.15167047571380823,0.17967948072712747,-0.6102865236513525
3.0,-1652844.3037272578,-4592773.961347463,4093833.635404599,0.07029440876145587,0.32925687391835473,-0.46008920079517795,0.012939453125,0.011962890625,0.023193359375,0.00537109375,0.00927734375,0.002685546875,1.9867154452432104e-05,4.461908441930218e-05,-1.3981882797268227e-05,-0.2320523212771559,-0.8924620106665424,-0.3868633863612786,1.1e-05,2.66e-05,-3.7199999999999996e-05,0.05132424831978589,0.9366675318360924,0.3464386761585547,0.024783675378319478,-0.016406094968746697,-0.023736477827122883,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.14368751288058848,0.1724617271278595,-0.5878508899322293
3.25,-1652760.6942076301,-4592804.0498237265,4093833.635404599,0.08280422801105126,0.3196555726659597,-0.44771255084100803,0.0126953125,0.01171875,0.023193359375,0.00537109375,0.009033203125,0.002685546875,1.986621745153724e-05,4.4619607209798726e-05,-1.3982048821187696e-05,-0.2320522713977767,-0.8924620215836463,-0.38686339109557005,1.05e-05,2.7e-05,-3.6899999999999996e-05,0.05154964486847061,0.9407810188495885,0.33507269164505893,0.020594885173533087,-0.02111848394913139,-0.01972222054753592,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.13234867244841508,0.16865049814201133,-0.5705172989431156
3.5,-1652681.1265152826,-4592832.682175031,4093833.635404599,0.09990971780685937,0.31416005350515247,-0.439555982644872,0.012939453125,0.01220703125,0.023193359375,0.0048828125,0.00927734375,0.002685546875,1.9865325730949368e-05,4.46201047025073e-05,-1.3982206811136036e-05,-0.2320522215183969,-0.8924620325007476,-0.3868633958298605,1.1e-05,2.58e-05,-3.7199999999999996e-05,0.03760887072223008,0.9402217680557519,0.3384798365000707,0.025656340004316644,-0.021467549799530253,-0.01972222054753592,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.11559388081436925,0.16613867350026956,-0.5588151906511455
3.7500000000000004,-1652594.4437091455,-4592863.873120624,4093833.635404599,0.11848316081233809,0.3142721540701531,-0.43507549274612123,0.01318359375,0.01220703125,0.023193359375,0.005126953125,0.00927734375,0.002685546875,1.9864354257765197e-05,4.462064665913802e-05,-1.3982378924156818e-05,-0.2320521716390164,-0.8924620434178469,-0.3868634005641498,1.08e-05,2.56e-05,-3.6899999999999996e-05,0.05071423639083361,0.9382133732304219,0.3423210956381269,0.022514747350726852,-0.019547687622336492,-0.022165681500327987,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.09664385495225497,0.16679706836436653,-0.5531584205696934
4.0,-1652509.6198055462,-4592894.3933912795,4093833.635404599,0.13764450605897102,0.3196603331429647,-0.43451324601337904,0.012939453125,0.01220703125,0.023193359375,0.00537109375,0.00927734375,0.002685546875,1.9863403602236426e-05,4.462117696789705e-05,-1.3982547339334916e-05,-0.23205212175963524,-0.8924620543349435,-0.38686340529843827,1.06e-05,2.58e-05,-3.6599999999999995e-05,0.038515386225510116,0.9372077314874128,0.346638476029591,0.020420352248333655,-0.020943951023931952,-0.023911010752322315,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.07646911614217838,0.17021491262572286,-0.5535494177538072
4.25,-1652425.671244073,-4592924.596965259,4093833.635404599,0.15697473138819382,0.32848765414455916,-0.4381990879986475,0.012939453125,0.01220703125,0.023193359375,0.005126953125,0.00927734375,0.002685546875,1.9862462741950132e-05,4.462170177911726e-05,-1.398271400982938e-05,-0.23205207188025342,-0.8924620652520381,-0.3868634100327256,1.1e-05,2.63e-05,-3.67e-05,0.03805709464116452,0.9387416678153915,0.34251385177048066,0.019896753472735354,-0.022863813201125717,-0.02181661564992912,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.055684572218778684,0.17455750430249192,-0.5593226794446063
4.5,-1652342.1937005494,-4592954.629354809,4093833.635404599,0.1758054225992966,0.33903439409466024,-0.4482683120843166,0.01318359375,0.01220703125,0.02294921875,0.005126953125,0.00927734375,0.002685546875,1.9861527143661748e-05,4.4622223618776674e-05,-1.3982879736607587e-05,-0.23205202200087094,-0.8924620761691302,-0.38686341476701197,9.9e-06,2.6099999999999997e-05,-3.7e-05,0.05132424831978589,0.9366675318360924,0.3464386761585547,0.026179938779914945,-0.01937315469713706,-0.030368728984701335,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.03505492560034266,0.17731503804413715,-0.5715200372344547
4.75,-1652260.4943594453,-4592984.020348208,4093833.635404599,0.19358504895937553,0.3515616318078711,-0.46248554992704344,0.012939453125,0.011962890625,0.023193359375,0.0048828125,0.009033203125,0.002685546875,1.9860611462796557e-05,4.4622734320853345e-05,-1.3983041928637874e-05,-0.23205197212148784,-0.8924620870862199,-0.3868634195012973,1.07e-05,2.63e-05,-3.7e-05,0.05032740675640618,0.9436388766826159,0.3271281439166402,0.024783675378319478,-0.021467549799530253,-0.017453292519943295,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.01508862369707045,0.1798298701224426,-0.5882009925255928
5.0,-1652172.555490665,-4593015.654151241,4093833.635404599,0.21084524518035896,0.3671703851485973,-0.4814023149802132,0.0126953125,0.01220703125,0.023193359375,0.00537109375,0.00927734375,0.002685546875,1.9859625833849893e-05,4.462328399984896e-05,-1.3983216500493465e-05,-0.23205192224210405,-0.8924620980033073,-0.3868634242355817,1.07e-05,2.55e-05,-3.7e-05,0.025687511263374107,0.9375941611131549,0.3467814020555504,0.017976891295541596,-0.020245819323134222,-0.016755160819145562,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,0.005040693307860914,0.1827196013628872,-0.6102197186159748
